"TableName","State","Total","SumOfBatchID"
"utExteriorWall","22","140228","595144097261"
"utExtraFeature","22","14221","61801293997"
"utGarage","22","219761","812737010120"
"utInteriorFlooring","22","143532","613748428770"
"utLotSiteAppeal","22","2665","10817033979"
"utMailAddress","22","2634566","11002925513204"
"utMain","22","2634566","11002925513204"
"utName","22","2917215","12163808082844"
"utOby","22","66705","257854389103"
"utPool","22","13786","55576916291"
"utSaleData","22","2104753","8826745465822"
"utTaxDistrict","22","3028907","12430265298645"
"utTaxExemption","22","1142333","4719597015231"
"utTypeConstruction","22","128881","561956899393"
"utValue","22","2634566","11002925513204"
"utVestingCodes","22","1474","6121021941"
"utBKManagedSpecific","23","873670","4177352530135"
"utBuilding","23","873670","4177352530135"
"utBuildingAreas","23","930405","4450588624774"
"utCareOfName","23","103","492401449"
"utExteriorWall","23","284796","1362365684141"
"utExtraFeature","23","104276","498893284338"
"utGarage","23","64871","310390986465"
"utLotSiteAppeal","23","2697","12900366435"
"utMailAddress","23","873670","4177352530135"
"utMain","23","873670","4177352530135"
"utName","23","1283682","6137711948480"
"utOby","23","239510","1145784833697"
"utPool","23","6525","31212215689"
"utSaleData","23","378983","1812489463687"
"utTaxExemption","23","58","277413130"
"utTypeConstruction","23","94215","450662207485"
"utValue","23","873670","4177352530135"
"utVestingCodes","23","40959","195883469239"
"utBKManagedSpecific","24","2344471","9896398639858"
"utBuilding","24","2344471","9896398639858"
"utBuildingAreas","24","4124650","17416376816207"
"utCareOfName","24","91802","386658618077"
"utExteriorWall","24","1299756","5500564993651"
"utExtraFeature","24","946328","3998591404309"
"utGarage","24","1878200","7941272692687"
"utInteriorFlooring","24","1911","8051118876"
"utLotSiteAppeal","24","81639","346409024716"
"utMailAddress","24","2344471","9896398639858"
"utMain","24","2344471","9896398639858"
"utName","24","3100074","13095697330685"
"utOby","24","475983","2013205884947"
"utPool","24","147589","625942900908"
"utSaleData","24","3754462","15849432507009"
"utTaxExemption","24","1107118","4677188151464"
"utTypeConstruction","24","580454","2444611553282"
"utValue","24","2344471","9896398639858"
"utVestingCodes","24","4774","20069690613"
"utBKManagedSpecific","25","2497043","11755415364620"
"utBuilding","25","2497043","11755415364620"
"utBuildingAreas","25","6107404","28783861164532"
"utCareOfName","25","88","411764250"
"utExteriorWall","25","1997036","9398090943058"
"utExtraFeature","25","187136","877819355227"
"utGarage","25","666617","3145015147426"
"utLotSiteAppeal","25","2101","9608814417"
"utMailAddress","25","2497043","11755415364620"
"utMain","25","2497043","11755415364620"
"utName","25","3694208","17385647380807"
"utOby","25","1238314","5815915193777"
"utPool","25","69775","327864376997"
"utSaleData","25","2291433","10784436277194"
"utTypeConstruction","25","1188185","5592953163176"
"utValue","25","2497043","11755415364620"
"utVestingCodes","25","79036","372045115327"
"utBKManagedSpecific","26","5162593","324737255578878"
"utBuilding","26","5318562","416272154363319"
"utBuildingAreas","26","6808647","533840427785965"
"utCareOfName","26","111441","5233532784105"
"utExteriorWall","26","1410539","67893073801456"
"utExtraFeature","26","471173","2063560348887"
"utGarage","26","3416253","301838299794973"
"utInteriorFlooring","26","11444","49973710658"
"utInteriorWall","26","20922","96426981429"
"utLotSiteAppeal","26","24800","101364600099"
"utMailAddress","26","5317402","415091671290497"
"utMain","26","5318585","416272255548438"
"utName","26","5763750","448589057162000"
"utOby","26","100435","582628253202"
"utPool","26","95165","18084078425626"
"utSaleData","26","4358377","393621202987275"
"utTaxDistrict","26","4866573","397580087462893"
"utTaxExemption","26","2100889","254634985774787"
"utTypeConstruction","26","463083","56801378282514"
"utValue","26","5318585","416272255548438"
"utVestingCodes","26","26708","2460787105363"
"utBKManagedSpecific","27","2926771","308003869848915"
"utBuilding","27","3095059","365259470117573"
"utBuildingAreas","27","5183224","756623166831375"
"utCareOfName","27","136070","17075449741598"
"utExteriorWall","27","1429321","87330237093333"
"utExtraFeature","27","1156095","180919061492280"
"utGarage","27","2570799","405247435859006"
"utInteriorFlooring","27","1402709","63293579259275"
"utInteriorWall","27","917827","71646083024688"
"utLotSiteAppeal","27","58003","238253691872"
"utMailAddress","27","3089567","363587963802856"
"utMain","27","3089567","363587963802856"
"utName","27","3521451","401064843077995"
"utOby","27","792987","106886580696503"
"utPool","27","76588","9643676323484"
"utSaleData","27","2271881","342482888663259"
"utTaxDistrict","27","2967649","451517184829469"
"utTaxExemption","27","1616370","216927901094476"
"utTypeConstruction","27","1166976","159906159124575"
"utValue","27","3089562","363587942898866"
"utVestingCodes","27","8850","100341263922"
"utBKManagedSpecific","28","1787593","7257804969794"
"utBuilding","28","1932367","152102288481227"
"utBuildingAreas","28","2295076","201881962051011"
"utCareOfName","28","109322","22704583225588"
"utExteriorWall","28","874091","67405069062421"
"utExtraFeature","28","145363","600007435657"
"utGarage","28","316621","11285776940242"
"utInteriorFlooring","28","1074185","75158099569796"
"utInteriorWall","28","786155","78901577061028"
"utLotSiteAppeal","28","6","25905400"
"utMailAddress","28","1922527","142257499495901"
"utMain","28","1926375","146107372949797"
"utName","28","2034240","146578764201173"
"utOby","28","618145","44160424612578"
"utPool","28","46126","626144321406"
"utSaleData","28","1496104","140413683293510"
"utTaxDistrict","28","528967","140456364830916"
"utTaxExemption","28","842335","3471612605339"
"utTypeConstruction","28","227721","935906718364"
"utValue","28","1926375","146107372949797"
"utVestingCodes","28","62113","533154176271"
"utBKManagedSpecific","29","3100852","166786049080764"
"utBuilding","29","3297309","363341112537834"
"utBuildingAreas","29","5861312","447258339194969"
"utCareOfName","29","110690","11750642822227"
"utExteriorWall","29","1216527","159543786420430"
"utExtraFeature","29","582011","50338130127236"
"utGarage","29","2049039","131716037390356"
"utInteriorFlooring","29","674966","111256265361148"
"utInteriorWall","29","343641","112545206891090"
"utLotSiteAppeal","29","193135","886050658002"
"utMailAddress","29","3288593","354620748823268"
"utMain","29","3288593","354620748823268"
"utName","29","3353088","364287779046878"
"utOby","29","1093804","162705342949888"
"utPool","29","44542","1694608301865"
"utSaleData","29","3078877","377568000076583"
"utTaxDistrict","29","3112100","303171447379302"
"utTaxExemption","29","95467","8727135603331"
"utTypeConstruction","29","664913","24095467345560"
"utValue","29","3288501","354528703207736"
"utVestingCodes","29","23225","457896380288"
"utBKManagedSpecific","30","926583","65014344703770"
"utBuilding","30","926583","65014344703770"
"utBuildingAreas","30","1932221","99148510539045"
"utCareOfName","30","80654","6654874502610"
"utExteriorWall","30","467466","30334566669567"
"utExtraFeature","30","609312","22944014167298"
"utGarage","30","658604","25470613064581"
"utLotSiteAppeal","30","73248","6714529211305"
"utMailAddress","30","926583","65014344703770"
"utMain","30","926583","65014344703770"
"utName","30","1131492","79214565781589"
"utOby","30","358568","23471128400661"
"utPool","30","5437","283744613601"
"utSaleData","30","740525","33141534968834"
"utTaxExemption","30","47180","3047978537254"
"utTypeConstruction","30","452687","26986769249700"
"utValue","30","926583","65014344703770"
"utVestingCodes","30","299","1332291007"
"utBKManagedSpecific","31","606520","171600249503728"
"utBuilding","31","1183214","586653641315005"
"utBuildingAreas","31","2992057","1307238960256870"
"utCareOfName","31","93400","42996131560798"
"utExteriorWall","31","759713","381705158518003"
"utExtraFeature","31","828023","432644705894779"
"utGarage","31","916116","393954006658167"
"utInteriorFlooring","31","114934","64824909379214"
"utInteriorWall","31","215108","27741112845039"
"utLotSiteAppeal","31","27111","9502155262316"
"utMailAddress","31","1150837","563522584173788"
