"TableName","State","Total","SumOfBatchID"
"utSellerName","27","4807621","1251413378931837"
"utSellerNameDescriptionCode","27","3140102","748711234323681"
"utBKManagedSpecific","28","2348307","159878526698907"
"utBorrowerMailAddress","28","238889","17833341186869"
"utBorrowerName","28","1714003","115664215033273"
"utBorrowerNameDescriptionCode","28","1161844","52396707334348"
"utBuyerMailAddress","28","1246634","87503307964166"
"utBuyerName","28","1750877","124344049635846"
"utBuyerNameDescriptionCode","28","1414198","88054319303789"
"utForeclosureNameAddress","28","14199","4936322110983"
"utForeclosureOriginalLoan","28","4321","3109170994507"
"utLegacy","28","2","7594324"
"utMain","28","2363016","164932175022902"
"utPropertyInfo","28","2390813","166596584338997"
"utSellerMailAddress","28","809694","52793782069744"
"utSellerName","28","1809966","129947740581631"
"utSellerNameDescriptionCode","28","1423763","89026347802926"
"utBKManagedSpecific","29","7284162","794074854758598"
"utBorrowerMailAddress","29","165587","23721176247325"
"utBorrowerName","29","4470446","566292640638993"
"utBorrowerNameDescriptionCode","29","4134012","500380961358191"
"utBuyerMailAddress","29","4682302","497539668832084"
"utBuyerName","29","7320186","833177509320580"
"utBuyerNameDescriptionCode","29","6966836","802003730135209"
"utForeclosureNameAddress","29","149261","47026310396387"
"utForeclosureOriginalLoan","29","29833","11480681134203"
"utLegacy","29","63714","274336954556"
"utMain","29","7450146","853941560662549"
"utPropertyInfo","29","7582515","869370851205111"
"utSellerMailAddress","29","1711090","83434039351139"
"utSellerName","29","7820806","895954228085875"
"utSellerNameDescriptionCode","29","7297679","860505310459364"
"utBKManagedSpecific","30","994014","667633388529445"
"utBorrowerMailAddress","30","12991","3102012186679"
"utBorrowerName","30","761404","500035917857378"
"utBorrowerNameDescriptionCode","30","630234","431384431910358"
"utBuyerMailAddress","30","582406","398652037972196"
"utBuyerName","30","916183","631106733940836"
"utBuyerNameDescriptionCode","30","882856","621676795559052"
"utForeclosureNameAddress","30","36898","17190966009"
"utForeclosureNODNOSDoc","30","7753","3067927505"
"utForeclosureOriginalLoan","30","18119","7730968846"
"utLegacy","30","1272","1267621963963"
"utMain","30","1065124","705841489039178"
"utPropertyInfo","30","1083479","714801173840182"
"utSellerMailAddress","30","209335","141675771354099"
"utSellerName","30","916815","628639305541941"
"utSellerNameDescriptionCode","30","739681","510214336243845"
"utBKManagedSpecific","31","1807271","1165305628406653"
"utBorrowerMailAddress","31","28556","19938202631578"
"utBorrowerName","31","1431699","832754500450139"
"utBorrowerNameDescriptionCode","31","1329444","799346290222691"
"utBuyerMailAddress","31","1003757","693493202148249"
"utBuyerName","31","1567070","1089312193965809"
"utBuyerNameDescriptionCode","31","1442092","989367527065547"
"utForeclosureNameAddress","31","50326","15147768052028"
"utForeclosureNODNOSDoc","31","3049","699192744510"
"utForeclosureOriginalLoan","31","29371","7198442372586"
"utLegacy","31","6115","4844011078926"
"utMain","31","1855687","1187077586058561"
"utPropertyInfo","31","1892320","1213580766497139"
"utSellerMailAddress","31","43265","28193943742242"
"utSellerName","31","1690730","1165931533215260"
"utSellerNameDescriptionCode","31","1530586","1047327975251125"
"utBKManagedSpecific","32","5159583","4316903688468573"
"utBorrowerMailAddress","32","8021","7166733676227"
"utBorrowerName","32","2775419","1781726636489858"
"utBorrowerNameDescriptionCode","32","2528232","1631851884533284"
