who,color,heading,xcor,ycor,shape,label,label-color,breed,hidden?,size,pen-size,pen-mode,total_market_value,structure_value,sq.ft.,damage_pct_10y,damage_pct_100y,cost_to_personal_property_10y,cost_to_personal_property_100y,latitude,longitude,elevation,stories,basement,inundation_10y,inundation_100y,future_loss,future_benefit,mot_year,ori_year,ori_moved?,nearhouse,move,normal_inf?,poor_inf?,s_prime,moved?,cnear,nbpast_move
5222,25,192,-413.1295229,580.5087652,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",481000,368000,2000,0.209,0.314,43001,50000,40.620942,-73.917388,3.6,2,"""""",14,43,2.24E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5223,35,273,-724.8534074,232.2345989,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",653000,514000,1600,0.209,0.362,43001,50000,40.591489,-73.94375,3.4,2,"""""",22,51,2.73E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5224,35,350,-392.0341807,418.8763482,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",797000,598000,2333,0.449,0.524,50000,50000,40.607273,-73.915604,2.1,2,"""""",73,102,3.14E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5225,25,165,-615.4863561,607.7766234,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",495000,268000,2633,0,0.152,0,7207,40.623248,-73.934501,4.6,2,"""""",0,4,2.28E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5226,75,204,-329.0319481,475.9543844,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",1593000,1247000,5100,0.407,0.488,50000,50000,40.6121,-73.910276,2.4,2,"""""",62,90,5.43E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5227,35,250,-570.7888261,534.5459877,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",644000,382000,5000,0,0.321,0,43001,40.617055,-73.930721,4.3,1,"""""",0,15,2.71E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5228,25,254,-251.7572502,721.9799948,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",521000,361000,1800,0.488,0.587,50000,50000,40.632906,-73.903741,1.6,2,"""""",93,122,2.35E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5229,25,156,-506.2730264,689.580198,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",427000,133000,4000,0,0,0,0,40.630166,-73.925265,5.1,1,"""""",0,0,2.08E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5230,35,237,-656.6601125,522.4611,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",756000,479000,3450,0,0,0,0,40.616033,-73.937983,5.9,2,"""""",0,0,3.03E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5231,25,43,-290.5778827,739.5042645,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",489000,272000,4000,0.532,0.672,50000,50000,40.634388,-73.907024,2.5,1,"""""",58,86,2.26E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5232,25,301,-635.4938218,555.6531546,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",519000,373000,2000,0,0,0,0,40.61884,-73.936193,5.5,2,"""""",0,0,2.35E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5233,45,105,-330.9830307,413.9454302,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",806000,530000,4000,0.754,0.754,50000,50000,40.606856,-73.910441,0.4,1,"""""",140,169,3.17E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5234,115,48,-320.8846999,391.5966652,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",2239000,1379000,13375,0.587,0.587,50000,50000,40.604966,-73.909587,0.3,2,"""""",144,173,7.28E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5235,35,320,-213.5396796,519.1501719,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",761000,407000,5258,0.632,0.705,50000,50000,40.615753,-73.900509,2,1,"""""",77,106,3.04E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5236,15,224,-94.67735934,759.1806374,"""circle""","""""",9.9,{breed poors},FALSE,5,1,"""up""",378000,216000,4508,0.314,0.449,50000,50000,40.636052,-73.890457,2.8,1.5,"""""",46,75,1.00E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5237,25,116,-624.0474703,176.3272123,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",538000,328000,2600,0.362,0.449,50000,50000,40.586761,-73.935225,2.7,2,"""""",50,78,2.40E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5238,15,178,-86.88485346,819.9361688,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",395000,254000,2600,0.407,0.488,50000,50000,40.64119,-73.889798,2.4,2,"""""",62,90,1.99E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5239,15,85,-423.4052249,884.3100717,"""circle""","""""",9.9,{breed poors},FALSE,5,1,"""up""",337000,153000,1600,0,0,0,0,40.646634,-73.918257,6.8,2,"""""",0,0,9416446.627,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5240,25,42,-72.42319233,801.6905898,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",535000,356000,4150,0.586,0.672,50000,50000,40.639647,-73.888575,2.3,1,"""""",65,94,2.39E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5241,105,117,-783.9180005,87.70076075,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",2042000,1343000,6240,0.754,0.754,50000,50000,40.579266,-73.948745,0.7,1,"""""",128,157,6.71E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5242,25,135,-631.3788111,478.6386011,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",577000,420000,1424,0,0.152,0,7207,40.612327,-73.935845,4.6,2,"""""",0,4,2.51E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5243,35,209,-683.5022799,554.8608968,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",739000,564000,2667,0,0,0,0,40.618773,-73.940253,6.1,2,"""""",0,0,2.98E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5244,35,274,-316.1311531,509.0045421,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",794000,367000,4833,0.314,0.449,50000,50000,40.614895,-73.909185,2.8,2,"""""",46,75,3.14E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5245,25,49,-487.0341689,550.5803397,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",479000,300000,3000,0,0.152,0,20624,40.618411,-73.923638,4.5,2,"""""",0,8,2.23E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5246,25,13,-653.9404215,527.9714304,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",452000,243000,3000,0,0,0,0,40.616499,-73.937753,5.9,1.75,"""""",0,0,2.16E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5247,15,215,-418.9591214,934.1750145,"""circle""","""""",9.9,{breed poors},FALSE,5,1,"""up""",292000,79000,2367,0,0,0,0,40.650851,-73.917881,8.9,2,"""""",0,0,8751234.542,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5248,25,264,-301.7286156,819.2148595,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",540000,382000,2544,0,0,0,0,40.641129,-73.907967,5.7,1,"""""",0,0,2.41E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5249,35,92,-241.1859296,490.7471383,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",700000,509000,2333,0.524,0.587,50000,50000,40.613351,-73.902847,1.4,2,"""""",101,130,2.87E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5250,35,171,-729.5005316,168.36916,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",657000,519000,1710,0.314,0.407,50000,50000,40.586088,-73.944143,3,2,"""""",38,67,2.74E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5251,35,110,-973.0074717,208.1712461,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",764000,580000,2400,0.314,0.449,50000,50000,40.589454,-73.964736,2.8,2,"""""",46,75,3.05E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5252,35,145,-863.8177915,104.7520407,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",752000,480000,1664,0.314,0.449,50000,50000,40.580708,-73.955502,2.8,2,"""""",46,75,3.02E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5253,15,60,-448.0834643,715.2517158,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",392000,236000,2500,0,0.209,0,43001,40.632337,-73.920344,4.2,2,"""""",0,19,1.98E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5254,35,24,-562.6297532,463.9522699,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",645000,435000,3000,0,0.209,0,43001,40.611085,-73.930031,4.3,2,"""""",0,15,2.71E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
