who,color,heading,xcor,ycor,shape,label,label-color,breed,hidden?,size,pen-size,pen-mode,total_market_value,structure_value,sq.ft.,damage_pct_10y,damage_pct_100y,cost_to_personal_property_10y,cost_to_personal_property_100y,latitude,longitude,elevation,stories,basement,inundation_10y,inundation_100y,future_loss,future_benefit,mot_year,ori_year,ori_moved?,nearhouse,move,normal_inf?,poor_inf?,s_prime,moved?,cnear,nbpast_move
344,29,313,-307.0142759,588.490467,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",552000,396000,2448,0.362,0.449,50000,50000,40.621617,-73.908414,2.7,2,"""""",50,78,2.91E+08,0,1,1,TRUE,{turtles 3943 4310 5672 1185 5759 2502 5763 2965 3014 4598},0,FALSE,FALSE,-798330.5959,TRUE,0,2
345,39,112,-673.9360625,532.8432247,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",653000,471000,2100,0,0,0,0,40.616911,-73.939444,6.2,2,"""""",0,0,3.26E+08,0,1,1,TRUE,{turtles 1649 635 1140 1573 2755 252 2275 3055 3078 5530},0,FALSE,FALSE,-715151.4764,TRUE,0,2
346,19,163,-533.6827815,731.5462122,"""circle""","""""",9.9,{breed poors},FALSE,5,1,"""up""",373000,241000,2150,0,0,0,0,40.633715,-73.927583,5.4,1,"""""",0,0,1.18E+08,0,4,4,TRUE,{turtles 4255 3516 916 1452 1367 1286 291 761 2534 4986},0,FALSE,FALSE,-53782.51598,TRUE,0,2
347,39,32,-726.7571911,214.1427415,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",672000,518000,1800,0.314,0.407,50000,50000,40.589959,-73.943911,3,2,"""""",38,67,3.32E+08,0,1,1,TRUE,{turtles 2191 766 1101 1369 3043 1736 2444 4369 4345 2954},0,FALSE,FALSE,-699503.9193,TRUE,0,2
348,29,29,-499.9467887,630.3618832,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",449000,262000,3000,0,0.152,0,20624,40.625158,-73.92473,4.5,2,"""""",0,8,2.56E+08,0,1,1,TRUE,{turtles 5494 5171 5045 1454 5666 5486 4965 3930 5395 1849},0,FALSE,FALSE,-883156.8267,TRUE,0,2
349,29,2,-991.607793,71.8437799,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",466000,285000,1800,0.362,0.449,50000,50000,40.577925,-73.966309,2.6,1.5,"""""",54,82,2.62E+08,0,1,1,TRUE,{turtles 2851 1043 2079 1316 1458 1147 1309 1948 5582 4292},0,FALSE,FALSE,-869156.3809,TRUE,0,2
350,39,76,-698.6616009,545.9213909,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",660000,501000,1560,0,0,0,0,40.618017,-73.941535,6.6,2,"""""",0,0,3.28E+08,0,1,1,TRUE,{turtles 2970 3023 4760 300 3208 2353 3987 5092 1289 2960},0,FALSE,FALSE,-709386.587,TRUE,0,2
351,19,1,-799.3019917,110.2032474,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",3019000,2280000,8320,0.587,0.587,50000,50000,40.581169,-73.950046,0.4,2.75,"""""",140,169,1.13E+09,0,2,2,TRUE,{turtles 4423 4910 207 2279 681 2294 1377 2997 2118 2410},1,FALSE,FALSE,-4002602.335,TRUE,0,2
352,19,157,-435.2181435,871.1491323,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",395000,200000,1530,0,0,0,0,40.645521,-73.919256,5.9,2,"""""",0,0,2.38E+08,0,1,1,TRUE,{turtles 2024 1202 4765 1818 3984 4028 4916 3214 1664 3466},0,FALSE,FALSE,-927628.8312,TRUE,0,2
353,39,30,-572.1959706,432.6166999,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",692000,542000,2000,0.152,0.263,14777,46633,40.608435,-73.93084,3.8,2,"""""",6,35,3.39E+08,0,1,1,TRUE,{turtles 3126 3559 4658 794 5400 1328 3427 1324 1697 2651},0,FALSE,FALSE,-683032.8065,TRUE,0,2
