Subsidy,OBJECTIVE
786000,5.43E+08
787000,5.44E+08
788000,5.44E+08
789000,5.45E+08
790000,5.45E+08
791000,5.45E+08
792000,5.46E+08
793000,5.46E+08
794000,5.47E+08
795000,5.47E+08
796000,5.48E+08
797000,5.48E+08
798000,5.48E+08
799000,5.49E+08
800000,5.49E+08
801000,5.49E+08
802000,5.50E+08
803000,5.50E+08
804000,5.50E+08
805000,5.50E+08
806000,5.51E+08
807000,5.51E+08
808000,5.52E+08
809000,5.52E+08
810000,5.52E+08
811000,5.53E+08
812000,5.53E+08
813000,5.54E+08
814000,5.54E+08
815000,5.54E+08
816000,5.55E+08
817000,5.55E+08
819000,5.56E+08
818000,5.56E+08
820000,5.57E+08
821000,5.57E+08
822000,5.57E+08
823000,5.58E+08
824000,5.58E+08
825000,5.58E+08
826000,5.59E+08
827000,5.59E+08
828000,5.60E+08
829000,5.60E+08
830000,5.61E+08
831000,5.61E+08
832000,5.61E+08
833000,5.62E+08
834000,5.62E+08
835000,5.62E+08
836000,5.63E+08
837000,5.63E+08
838000,5.64E+08
839000,5.64E+08
840000,5.64E+08
841000,5.65E+08
842000,5.65E+08
843000,5.66E+08
844000,5.66E+08
845000,5.67E+08
846000,5.67E+08
847000,5.67E+08
848000,5.68E+08
849000,5.68E+08
850000,5.69E+08
851000,5.69E+08
852000,5.69E+08
853000,5.70E+08
854000,5.70E+08
855000,5.71E+08
857000,5.72E+08
856000,5.71E+08
858000,5.72E+08
859000,5.73E+08
860000,5.73E+08
861000,5.74E+08
862000,5.74E+08
863000,5.75E+08
864000,5.75E+08
865000,5.76E+08
866000,5.76E+08
867000,5.77E+08
868000,5.77E+08
869000,5.78E+08
870000,5.78E+08
871000,5.79E+08
872000,5.79E+08
873000,5.80E+08
874000,5.80E+08
875000,5.81E+08
876000,5.81E+08
877000,5.82E+08
878000,5.82E+08
879000,5.82E+08
880000,5.83E+08
881000,5.83E+08
882000,5.84E+08
883000,5.84E+08
884000,5.85E+08
885000,5.85E+08
886000,5.86E+08
887000,5.86E+08
888000,5.87E+08
889000,5.87E+08
890000,5.88E+08
891000,5.88E+08
892000,5.89E+08
894000,5.90E+08
893000,5.89E+08
895000,5.90E+08
896000,5.91E+08
897000,5.91E+08
898000,5.92E+08
899000,5.92E+08
900000,5.93E+08
901000,5.93E+08
902000,5.94E+08
903000,5.94E+08
905000,5.95E+08
904000,5.95E+08
906000,5.96E+08
907000,5.96E+08
908000,5.96E+08
909000,5.97E+08
910000,5.98E+08
911000,5.98E+08
912000,5.98E+08
913000,5.99E+08
914000,5.99E+08
915000,6.00E+08
916000,6.01E+08
917000,6.01E+08
918000,6.02E+08
919000,6.02E+08
920000,6.03E+08
921000,6.03E+08
922000,6.04E+08
923000,6.04E+08
924000,6.05E+08
925000,6.05E+08
926000,6.05E+08
927000,6.06E+08
928000,6.07E+08
929000,6.07E+08
930000,6.08E+08
931000,6.08E+08
932000,6.09E+08
933000,6.09E+08
934000,6.10E+08
935000,6.10E+08
936000,6.11E+08
937000,6.11E+08
938000,6.12E+08
939000,6.12E+08
940000,6.13E+08
941000,6.13E+08
942000,6.14E+08
943000,6.14E+08
944000,6.15E+08
945000,6.15E+08
946000,6.15E+08
947000,6.16E+08
948000,6.16E+08
949000,6.17E+08
950000,6.17E+08
951000,6.18E+08
952000,6.18E+08
953000,6.19E+08
954000,6.20E+08
955000,6.20E+08
956000,6.21E+08
957000,6.21E+08
958000,6.22E+08
959000,6.22E+08
960000,6.23E+08
