[run number],Subsidy,Moving_Cost_Multiplier,[step],OBJECTIVE,,,,,,
311,110000,4,101,2.11E+09,,,,,,
312,120000,4,101,2.16E+09,,,,,,
313,130000,4,101,2.22E+09,,,,,,
314,140000,4,101,2.27E+09,,,,,,
315,150000,4,101,2.33E+09,,,,,,
316,160000,4,101,2.39E+09,,,,,,
317,170000,4,101,2.45E+09,,,,,,
318,180000,4,101,2.51E+09,,,,,,
319,190000,4,101,2.57E+09,,,,,,
320,200000,4,101,2.63E+09,,,,,,
321,210000,4,101,2.69E+09,,,,,,
322,220000,4,101,2.75E+09,,,,,,
323,230000,4,101,2.82E+09,,,,,,
324,240000,4,101,2.89E+09,,,,,,
325,250000,4,101,2.95E+09,,,,,,
326,260000,4,101,3.02E+09,,,,,,
327,270000,4,101,3.10E+09,,,,,,
328,280000,4,101,3.17E+09,,,,,,
329,290000,4,101,3.24E+09,,,,,,
330,300000,4,101,3.31E+09,,,,,,
331,310000,4,101,3.39E+09,,,,,,
332,320000,4,101,3.46E+09,,,,,,
333,330000,4,101,3.54E+09,,,,,,
334,340000,4,101,3.62E+09,,,,,,
335,350000,4,101,3.70E+09,,,,,,
336,360000,4,101,3.78E+09,,,,,,
337,370000,4,101,3.86E+09,,,,,,
338,380000,4,101,3.94E+09,,,,,,
339,390000,4,101,4.02E+09,,,,,,
340,400000,4,101,4.10E+09,,,,,,
341,410000,4,101,4.19E+09,,,,,,
342,420000,4,101,4.27E+09,,,,,,
343,430000,4,101,4.36E+09,,,,,,
344,440000,4,101,4.44E+09,,,,,,
345,450000,4,101,4.53E+09,,,,,,
346,460000,4,101,4.62E+09,,,,,,
347,470000,4,101,4.70E+09,,,,,,
348,480000,4,101,4.79E+09,,,,,,
349,490000,4,101,4.88E+09,,,,,,
350,500000,4,101,4.97E+09,,,,,,
351,510000,4,101,5.06E+09,,,,,,
352,520000,4,101,5.15E+09,,,,,,
353,530000,4,101,5.24E+09,,,,,,
354,540000,4,101,5.33E+09,,,,,,
355,550000,4,101,5.42E+09,,,,,,
356,560000,4,101,5.51E+09,,,,,,
357,570000,4,101,5.61E+09,,,,,,
358,580000,4,101,5.70E+09,,,,,,
359,590000,4,101,5.79E+09,,,,,,
360,600000,4,101,5.89E+09,,,,,,
361,610000,4,101,5.98E+09,,,,,,
362,620000,4,101,6.07E+09,,,,,,
363,630000,4,101,6.17E+09,,,,,,
364,640000,4,101,6.26E+09,,,,,,
365,650000,4,101,6.35E+09,,,,,,
366,660000,4,101,6.45E+09,,,,,,
367,670000,4,101,6.55E+09,,,,,,
368,680000,4,101,6.64E+09,,,,,,
369,690000,4,101,6.74E+09,,,,,,
370,700000,4,101,6.83E+09,,,,,,
371,710000,4,101,6.93E+09,,,,,,
372,720000,4,101,7.03E+09,,,,,,
373,730000,4,101,7.13E+09,,,,,,
374,740000,4,101,7.22E+09,,,,,,
375,750000,4,101,7.32E+09,,,,,,
376,760000,4,101,7.42E+09,,,,,,
377,770000,4,101,7.52E+09,,,,,,
378,780000,4,101,7.61E+09,,,,,,
379,790000,4,101,7.71E+09,,,,,,
380,800000,4,101,7.81E+09,,,,,,
381,810000,4,101,7.91E+09,,,,,,
382,820000,4,101,8.01E+09,,,,,,
383,830000,4,101,8.11E+09,,,,,,
384,840000,4,101,8.21E+09,,,,,,
385,850000,4,101,8.31E+09,,,,,,
386,860000,4,101,8.41E+09,,,,,,
387,870000,4,101,8.51E+09,,,,,,
388,880000,4,101,8.61E+09,,,,,,
389,890000,4,101,8.71E+09,,,,,,
390,900000,4,101,8.81E+09,,,,,,
391,910000,4,101,8.91E+09,,,,,,
392,920000,4,101,9.01E+09,,,,,,
393,930000,4,101,9.12E+09,,,,,,
394,940000,4,101,9.22E+09,,,,,,
395,950000,4,101,9.32E+09,,,,,,
396,960000,4,101,9.42E+09,,,,,,
398,980000,4,101,9.62E+09,,,,,,
397,970000,4,101,9.52E+09,,,,,,
399,990000,4,101,9.73E+09,,,,,,
400,1000000,4,101,9.83E+09,,,,,,
402,20000,5,101,2.65E+09,,,,,,
401,10000,5,101,2.62E+09,,,,,,
403,30000,5,101,2.69E+09,,,,,,
404,40000,5,101,2.72E+09,,,,,,
405,50000,5,101,2.75E+09,,,,,,
406,60000,5,101,2.79E+09,,,,,,
407,70000,5,101,2.82E+09,,,,,,
408,80000,5,101,2.85E+09,,,,,,
409,90000,5,101,2.88E+09,,,,,,
410,100000,5,101,2.92E+09,,,,,,
411,110000,5,101,2.95E+09,,,,,,
412,120000,5,101,2.99E+09,,,,,,
413,130000,5,101,3.03E+09,,,,,,
414,140000,5,101,3.07E+09,,,,,,
415,150000,5,101,3.12E+09,,,,,,
416,160000,5,101,3.16E+09,,,,,,
417,170000,5,101,3.20E+09,,,,,,
418,180000,5,101,3.24E+09,,,,,,
419,190000,5,101,3.29E+09,,,,,,
420,200000,5,101,3.34E+09,,,,,,
421,210000,5,101,3.39E+09,,,,,,
422,220000,5,101,3.44E+09,,,,,,
424,240000,5,101,3.55E+09,,,,,,
423,230000,5,101,3.49E+09,,,,,,
426,260000,5,101,3.65E+09,,,,,,
425,250000,5,101,3.60E+09,,,,,,
428,280000,5,101,3.76E+09,,,,,,
427,270000,5,101,3.70E+09,,,,,,
430,300000,5,101,3.88E+09,,,,,,
429,290000,5,101,3.82E+09,,,,,,
431,310000,5,101,3.94E+09,,,,,,
432,320000,5,101,4.00E+09,,,,,,
433,330000,5,101,4.06E+09,,,,,,
434,340000,5,101,4.12E+09,,,,,,
435,350000,5,101,4.18E+09,,,,,,
436,360000,5,101,4.25E+09,,,,,,
437,370000,5,101,4.32E+09,,,,,,
438,380000,5,101,4.38E+09,,,,,,
439,390000,5,101,4.45E+09,,,,,,
440,400000,5,101,4.52E+09,,,,,,
441,410000,5,101,4.59E+09,,,,,,
442,420000,5,101,4.66E+09,,,,,,
443,430000,5,101,4.73E+09,,,,,,
444,440000,5,101,4.81E+09,,,,,,
445,450000,5,101,4.88E+09,,,,,,
446,460000,5,101,4.95E+09,,,,,,
447,470000,5,101,5.03E+09,,,,,,
448,480000,5,101,5.10E+09,,,,,,
449,490000,5,101,5.18E+09,,,,,,
450,500000,5,101,5.26E+09,,,,,,
451,510000,5,101,5.34E+09,,,,,,
452,520000,5,101,5.42E+09,,,,,,
453,530000,5,101,5.50E+09,,,,,,
454,540000,5,101,5.58E+09,,,,,,
455,550000,5,101,5.66E+09,,,,,,
456,560000,5,101,5.74E+09,,,,,,
457,570000,5,101,5.82E+09,,,,,,
458,580000,5,101,5.90E+09,,,,,,
459,590000,5,101,5.99E+09,,,,,,
460,600000,5,101,6.07E+09,,,,,,
461,610000,5,101,6.16E+09,,,,,,
462,620000,5,101,6.24E+09,,,,,,
463,630000,5,101,6.33E+09,,,,,,
464,640000,5,101,6.42E+09,,,,,,
465,650000,5,101,6.50E+09,,,,,,
466,660000,5,101,6.59E+09,,,,,,
467,670000,5,101,6.68E+09,,,,,,
468,680000,5,101,6.76E+09,,,,,,
469,690000,5,101,6.85E+09,,,,,,
470,700000,5,101,6.94E+09,,,,,,
471,710000,5,101,7.03E+09,,,,,,
472,720000,5,101,7.12E+09,,,,,,
473,730000,5,101,7.21E+09,,,,,,
474,740000,5,101,7.30E+09,,,,,,
475,750000,5,101,7.39E+09,,,,,,
476,760000,5,101,7.48E+09,,,,,,
477,770000,5,101,7.57E+09,,,,,,
478,780000,5,101,7.66E+09,,,,,,
479,790000,5,101,7.75E+09,,,,,,
480,800000,5,101,7.85E+09,,,,,,
481,810000,5,101,7.94E+09,,,,,,
482,820000,5,101,8.03E+09,,,,,,
483,830000,5,101,8.12E+09,,,,,,
484,840000,5,101,8.22E+09,,,,,,
485,850000,5,101,8.31E+09,,,,,,
486,860000,5,101,8.40E+09,,,,,,
487,870000,5,101,8.50E+09,,,,,,
488,880000,5,101,8.59E+09,,,,,,
489,890000,5,101,8.69E+09,,,,,,
490,900000,5,101,8.78E+09,,,,,,
491,910000,5,101,8.88E+09,,,,,,
492,920000,5,101,8.97E+09,,,,,,
493,930000,5,101,9.07E+09,,,,,,
494,940000,5,101,9.17E+09,,,,,,
495,950000,5,101,9.26E+09,,,,,,
496,960000,5,101,9.36E+09,,,,,,
497,970000,5,101,9.46E+09,,,,,,
498,980000,5,101,9.55E+09,,,,,,
499,990000,5,101,9.65E+09,,,,,,
500,1000000,5,101,9.75E+09,,,,,,
501,10000,6,101,3.92E+09,,,,,,
502,20000,6,101,3.93E+09,,,,,,
503,30000,6,101,3.94E+09,,,,,,
504,40000,6,101,3.95E+09,,,,,,
506,60000,6,101,3.98E+09,,,,,,
505,50000,6,101,3.96E+09,,,,,,
507,70000,6,101,4.00E+09,,,,,,
508,80000,6,101,4.02E+09,,,,,,
509,90000,6,101,4.04E+09,,,,,,
510,100000,6,101,4.06E+09,,,,,,
511,110000,6,101,4.09E+09,,,,,,
512,120000,6,101,4.11E+09,,,,,,
513,130000,6,101,4.14E+09,,,,,,
514,140000,6,101,4.16E+09,,,,,,
515,150000,6,101,4.19E+09,,,,,,
516,160000,6,101,4.22E+09,,,,,,
517,170000,6,101,4.25E+09,,,,,,
518,180000,6,101,4.28E+09,,,,,,
519,190000,6,101,4.31E+09,,,,,,
520,200000,6,101,4.35E+09,,,,,,
521,210000,6,101,4.38E+09,,,,,,
522,220000,6,101,4.42E+09,,,,,,
523,230000,6,101,4.45E+09,,,,,,
524,240000,6,101,4.49E+09,,,,,,
525,250000,6,101,4.53E+09,,,,,,
526,260000,6,101,4.57E+09,,,,,,
527,270000,6,101,4.61E+09,,,,,,
528,280000,6,101,4.65E+09,,,,,,
529,290000,6,101,4.69E+09,,,,,,
530,300000,6,101,4.74E+09,,,,,,
531,310000,6,101,4.78E+09,,,,,,
532,320000,6,101,4.83E+09,,,,,,
534,340000,6,101,4.92E+09,,,,,,
533,330000,6,101,4.87E+09,,,,,,
535,350000,6,101,4.97E+09,,,,,,
536,360000,6,101,5.02E+09,,,,,,
537,370000,6,101,5.08E+09,,,,,,
538,380000,6,101,5.13E+09,,,,,,
539,390000,6,101,5.18E+09,,,,,,
540,400000,6,101,5.24E+09,,,,,,
541,410000,6,101,5.30E+09,,,,,,
542,420000,6,101,5.35E+09,,,,,,
543,430000,6,101,5.41E+09,,,,,,
544,440000,6,101,5.47E+09,,,,,,
545,450000,6,101,5.52E+09,,,,,,
546,460000,6,101,5.58E+09,,,,,,
547,470000,6,101,5.64E+09,,,,,,
548,480000,6,101,5.70E+09,,,,,,
550,500000,6,101,5.83E+09,,,,,,
549,490000,6,101,5.77E+09,,,,,,
551,510000,6,101,5.89E+09,,,,,,
552,520000,6,101,5.96E+09,,,,,,
553,530000,6,101,6.03E+09,,,,,,
554,540000,6,101,6.10E+09,,,,,,
555,550000,6,101,6.16E+09,,,,,,
556,560000,6,101,6.23E+09,,,,,,
557,570000,6,101,6.30E+09,,,,,,
558,580000,6,101,6.37E+09,,,,,,
559,590000,6,101,6.44E+09,,,,,,
560,600000,6,101,6.52E+09,,,,,,
561,610000,6,101,6.59E+09,,,,,,
562,620000,6,101,6.66E+09,,,,,,
563,630000,6,101,6.73E+09,,,,,,
564,640000,6,101,6.81E+09,,,,,,
565,650000,6,101,6.88E+09,,,,,,
566,660000,6,101,6.96E+09,,,,,,
567,670000,6,101,7.04E+09,,,,,,
568,680000,6,101,7.12E+09,,,,,,
570,700000,6,101,7.27E+09,,,,,,
569,690000,6,101,7.19E+09,,,,,,
571,710000,6,101,7.35E+09,,,,,,
572,720000,6,101,7.43E+09,,,,,,
